,year,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209
0,2020,06,010108,136,11,02,100111,5.0,2.0,20200101081361102,2.0,,,1.0,2.0,,2.0,43.0,,2.0
1,2020,06,020257,093,11,04,250107,7.0,2.0,20200202570931104,3.0,,,1.0,2.0,,1.0,17.0,,6.0
2,2020,06,015537,065,11,04,040126,6.0,1.0,20200155370651104,3.0,,,1.0,2.0,,2.0,9.0,,
4,2020,06,009390,096,11,04,230110,3.0,2.0,20180093900961104,0.0,,,,,,,,,
7,2020,06,017794,111,11,01,150122,8.0,1.0,20200177941111101,1.0,,,1.0,2.0,,1.0,56.0,,6.0
8,2020,06,015369,140,11,03,021909,5.0,7.0,20200153691401103,3.0,,,1.0,2.0,,1.0,9.0,,
9,2020,08,017808,073,11,07,150119,8.0,1.0,20200178080731107,3.0,,,1.0,2.0,,2.0,8.0,,
10,2020,06,019557,045,11,02,210203,6.0,8.0,20200195570451102,2.0,,,1.0,2.0,,2.0,44.0,,2.0
17,2020,10,020040,078,11,02,230201,6.0,6.0,20200200400781102,3.0,1.0,3.0,1.0,2.0,,1.0,18.0,,6.0
18,2020,07,015877,039,11,02,050107,5.0,8.0,20200158770391102,3.0,,,1.0,2.0,,2.0,10.0,,
23,2020,05,017793,075,11,02,150131,8.0,1.0,20200177930751102,10.0,,,1.0,2.0,,2.0,95.0,,3.0
30,2020,03,008222,091,44,03,160101,7.0,2.0,20200082220914403,3.0,1.0,3.0,1.0,2.0,,2.0,15.0,,6.0
31,2020,05,008596,114,11,01,180204,6.0,7.0,20200085961141101,1.0,,,1.0,2.0,,1.0,52.0,,2.0
33,2020,07,010368,081,11,04,230104,3.0,2.0,20180103680811105,3.0,,,1.0,2.0,,1.0,14.0,,6.0
35,2020,09,008544,076,11,02,180301,3.0,3.0,20200085440761102,3.0,,,2.0,,2.0,1.0,40.0,,6.0
