,year,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209
36,2020,03,008494,142,11,05,180101,3.0,3.0,20200084941421105,3.0,,,1.0,2.0,,1.0,8.0,,
37,2020,02,008071,089,11,04,150604,2.0,5.0,20170080710891104,4.0,2.0,2.0,1.0,2.0,,2.0,41.0,,1.0
38,2020,12,017723,036,11,01,140112,1.0,4.0,20200177230361101,1.0,1.0,1.0,1.0,2.0,,2.0,65.0,,5.0
39,2020,12,005622,119,11,02,040124,6.0,5.0,20200056221191102,3.0,1.0,3.0,1.0,2.0,,2.0,4.0,,
41,2020,07,020058,019,11,04,240101,1.0,3.0,20200200580191104,3.0,,,1.0,2.0,,2.0,11.0,,
45,2020,04,016962,074,11,01,110110,2.0,5.0,20200169620741101,1.0,,,1.0,2.0,,2.0,47.0,,5.0
50,2020,05,017927,003,11,01,150132,8.0,1.0,20200179270031101,1.0,,,1.0,2.0,,1.0,32.0,,1.0
54,2020,10,017333,038,11,03,130105,1.0,1.0,20200173330381103,3.0,1.0,3.0,1.0,2.0,,1.0,7.0,,
55,2020,10,019055,026,11,02,190101,5.0,3.0,20200190550261102,3.0,1.0,3.0,1.0,2.0,,1.0,16.0,,6.0
58,2020,02,007236,201,11,03,130402,1.0,7.0,20190072362011103,3.0,1.0,3.0,1.0,2.0,,1.0,26.0,,6.0
59,2020,12,010022,087,11,03,021409,5.0,8.0,20170100220871103,3.0,1.0,3.0,1.0,2.0,,1.0,13.0,,6.0
60,2020,05,016905,099,11,03,110101,2.0,2.0,20200169050991103,3.0,,,1.0,2.0,,1.0,18.0,,6.0
61,2020,08,006298,030,11,02,080302,6.0,7.0,20180062980301102,2.0,,,1.0,2.0,,2.0,58.0,,2.0
62,2020,07,007624,029,11,08,150132,8.0,1.0,20200076240291108,4.0,,,1.0,2.0,,1.0,28.0,,1.0
63,2020,06,018960,082,11,01,180301,3.0,3.0,20200189600821101,1.0,,,1.0,1.0,,1.0,53.0,,5.0
64,2020,10,015912,036,11,02,050205,5.0,6.0,20200159120361102,2.0,1.0,2.0,1.0,2.0,,2.0,67.0,,2.0
65,2020,08,010603,041,11,03,110505,2.0,5.0,20200106030411103,3.0,,,1.0,2.0,,2.0,23.0,,6.0
67,2020,01,006893,099,11,02,120114,5.0,2.0,20180068930991102,6.0,1.0,6.0,1.0,2.0,,2.0,68.0,,4.0
68,2020,04,009313,113,11,06,230102,3.0,2.0,20180093131131106,0.0,,,,,,,,,
69,2020,03,005899,069,11,04,060701,4.0,5.0,20200058990691104,3.0,1.0,3.0,1.0,2.0,,1.0,15.0,,6.0
70,2020,01,007322,046,11,03,140101,1.0,2.0,20200073220461103,3.0,1.0,3.0,1.0,2.0,,1.0,22.0,,6.0
72,2020,12,016483,070,11,05,081305,6.0,6.0,20200164830701105,5.0,2.0,3.0,2.0,,2.0,1.0,5.0,,
74,2020,08,016453,026,11,03,080307,6.0,8.0,20200164530261103,3.0,,,1.0,2.0,,2.0,9.0,,
75,2020,12,016860,073,11,02,110106,2.0,2.0,20200168600731102,3.0,1.0,3.0,1.0,2.0,,1.0,23.0,,6.0
77,2020,12,009991,030,11,01,030415,6.0,7.0,20190099910301101,1.0,0.0,1.0,1.0,2.0,,2.0,55.0,,3.0
78,2020,10,006466,012,11,02,090106,5.0,7.0,20180064660121102,7.0,0.0,1.0,1.0,2.0,,1.0,38.0,,6.0
81,2020,06,017390,040,11,02,130101,1.0,1.0,20200173900401102,2.0,,,1.0,2.0,,2.0,43.0,,2.0
83,2020,04,016758,053,11,01,100501,5.0,8.0,20200167580531101,1.0,,,1.0,2.0,,1.0,39.0,,1.0
86,2020,04,007256,131,11,03,130901,4.0,7.0,20190072561311103,3.0,,,1.0,2.0,,1.0,22.0,,1.0
87,2020,01,005357,122,11,03,030101,6.0,3.0,20200053571221103,3.0,1.0,3.0,1.0,2.0,,2.0,26.0,,6.0
88,2020,12,010538,069,11,01,060701,4.0,5.0,20190105380691101,1.0,1.0,1.0,1.0,2.0,,1.0,35.0,,1.0
90,2020,06,009931,064,11,02,170201,7.0,8.0,20180099310641102,2.0,,,1.0,2.0,,2.0,34.0,,2.0
92,2020,10,017014,024,11,03,110112,2.0,4.0,20200170140241103,3.0,1.0,3.0,1.0,2.0,,2.0,18.0,,6.0
95,2020,01,009098,134,11,03,210102,6.0,7.0,20200090981341103,3.0,1.0,3.0,1.0,2.0,,1.0,19.0,,6.0
97,2020,01,005576,055,11,02,040107,6.0,1.0,20200055760551102,2.0,1.0,2.0,1.0,2.0,,1.0,91.0,,2.0
100,2020,09,010156,089,11,03,120601,7.0,7.0,20180101560891104,3.0,,,1.0,2.0,,1.0,15.0,,6.0
102,2020,12,006825,109,11,03,110113,2.0,5.0,20200068251091103,3.0,1.0,3.0,1.0,2.0,,2.0,11.0,,
108,2020,12,017800,009,11,02,150117,8.0,1.0,20200178000091102,11.0,0.0,1.0,1.0,2.0,,2.0,86.0,,6.0
114,2020,03,009331,051,11,03,230104,3.0,2.0,20200093310511103,3.0,1.0,3.0,1.0,2.0,,2.0,3.0,,
121,2020,05,018576,010,11,02,160101,7.0,2.0,20200185760101102,3.0,,,1.0,2.0,,1.0,18.0,,6.0
123,2020,07,016016,080,11,04,060903,7.0,5.0,20200160160801104,3.0,,,1.0,2.0,,1.0,25.0,,6.0
124,2020,01,008760,109,11,01,200101,1.0,2.0,20200087601091101,1.0,1.0,1.0,1.0,2.0,,1.0,49.0,,1.0
125,2020,01,006966,056,11,01,120402,5.0,5.0,20200069660561101,1.0,1.0,1.0,1.0,2.0,,1.0,67.0,,2.0
126,2020,03,006098,148,11,03,070102,8.0,1.0,20200060981481103,3.0,1.0,3.0,1.0,2.0,,2.0,2.0,,
129,2020,04,017074,367,11,02,110111,2.0,7.0,20200170743671102,2.0,,,1.0,2.0,,2.0,26.0,,1.0
132,2020,05,010365,038,11,04,220605,7.0,6.0,20180103650381104,3.0,,,1.0,2.0,,1.0,10.0,,
133,2020,06,009399,242,11,04,230110,3.0,2.0,20160093992421104,3.0,,,1.0,2.0,,1.0,7.0,,
138,2020,09,009437,036,11,03,230302,6.0,8.0,20180094370361103,3.0,,,1.0,2.0,,1.0,12.0,,6.0
139,2020,06,020250,051,11,02,250107,7.0,2.0,20200202500511102,2.0,,,1.0,2.0,,2.0,25.0,,1.0
143,2020,01,009968,001,11,03,120504,5.0,6.0,20200099680011103,3.0,1.0,3.0,1.0,2.0,,1.0,16.0,,6.0
144,2020,09,018839,055,11,04,170302,7.0,5.0,20200188390551104,3.0,,,1.0,2.0,,1.0,16.0,,6.0
148,2020,12,007280,071,11,02,131002,4.0,7.0,20200072800711102,2.0,1.0,2.0,1.0,2.0,,2.0,41.0,,2.0
149,2020,08,005859,107,11,02,060101,4.0,2.0,20160058591071102,2.0,,,1.0,2.0,,2.0,49.0,,1.0
151,2020,02,009806,047,11,05,030205,6.0,7.0,20200098060471105,5.0,2.0,3.0,1.0,2.0,,2.0,4.0,,
153,2020,04,009011,034,11,03,211101,6.0,2.0,20200090110341103,3.0,,,1.0,2.0,,1.0,26.0,,6.0
157,2020,06,008976,028,11,05,210101,6.0,2.0,20200089760281105,5.0,,,1.0,2.0,,1.0,1.0,,
159,2020,08,009461,288,11,01,230101,3.0,7.0,20160094612881102,1.0,,,1.0,2.0,,1.0,73.0,,2.0
161,2020,10,009208,140,11,03,220303,7.0,7.0,20180092081401104,3.0,1.0,3.0,1.0,2.0,,2.0,16.0,,6.0
163,2020,03,008311,061,11,05,160704,7.0,7.0,20200083110611105,3.0,1.0,3.0,1.0,2.0,,1.0,13.0,,6.0
166,2020,08,011403,341,11,07,210307,6.0,7.0,20200114033411107,3.0,,,1.0,2.0,,2.0,5.0,,
168,2020,08,010285,086,11,04,160105,7.0,7.0,20180102850861104,3.0,,,1.0,2.0,,1.0,14.0,,6.0
170,2020,02,006502,115,11,02,100101,5.0,2.0,20200065021151102,11.0,0.0,1.0,2.0,,2.0,2.0,50.0,,6.0
171,2020,09,018718,031,11,05,160706,7.0,6.0,20200187180311105,3.0,1.0,3.0,1.0,2.0,,1.0,3.0,,
175,2020,06,008328,092,11,01,160112,7.0,7.0,20200083280921101,1.0,,,1.0,2.0,,1.0,28.0,,1.0
176,2020,01,008429,086,11,02,170302,7.0,5.0,20200084290861102,2.0,1.0,2.0,1.0,2.0,,2.0,50.0,,2.0
179,2020,08,005726,023,11,04,050401,5.0,4.0,20170057260231104,3.0,,,1.0,2.0,,1.0,10.0,,
180,2020,07,019331,060,11,03,200703,1.0,5.0,20200193310601103,3.0,,,1.0,2.0,,1.0,4.0,,
184,2020,06,010212,013,11,02,150135,8.0,1.0,20200102120131102,2.0,,,1.0,2.0,,2.0,52.0,,2.0
185,2020,11,005412,049,11,04,030209,6.0,7.0,20200054120491104,6.0,0.0,1.0,1.0,2.0,,2.0,86.0,,3.0
187,2020,06,020320,266,11,01,250301,7.0,7.0,20200203202661101,1.0,,,1.0,2.0,,1.0,45.0,,2.0
188,2020,09,006878,046,11,01,110305,2.0,8.0,20200068780461101,1.0,,,1.0,2.0,,1.0,43.0,,5.0
189,2020,11,006219,069,11,01,080101,6.0,2.0,20200062190691101,1.0,1.0,1.0,1.0,2.0,,2.0,65.0,,3.0
190,2020,10,008114,110,11,04,150504,2.0,5.0,20170081141101106,6.0,0.0,1.0,1.0,2.0,,1.0,85.0,,3.0
192,2020,07,005206,094,11,04,021809,2.0,2.0,20200052060941104,4.0,,,1.0,1.0,,1.0,27.0,,1.0
194,2020,10,008203,046,12,01,160101,7.0,2.0,20180082030461101,1.0,0.0,1.0,1.0,2.0,,2.0,66.0,,5.0
195,2020,06,015438,042,11,02,030104,6.0,5.0,20200154380421102,2.0,,,1.0,2.0,,2.0,27.0,,1.0
197,2020,09,010331,097,11,04,200401,1.0,7.0,20200103310971104,3.0,1.0,3.0,1.0,2.0,,1.0,15.0,,6.0
198,2020,11,007181,010,11,06,130701,1.0,5.0,20180071810101106,5.0,2.0,3.0,1.0,1.0,,1.0,4.0,,
200,2020,05,015496,281,11,03,030205,6.0,7.0,20200154962811103,3.0,,,1.0,2.0,,1.0,24.0,,6.0
201,2020,12,006093,035,11,08,070102,8.0,1.0,20180060930351204,5.0,0.0,1.0,1.0,2.0,,1.0,15.0,,6.0
202,2020,11,016390,009,11,01,080501,6.0,5.0,20200163900091101,1.0,1.0,1.0,1.0,2.0,,1.0,33.0,,2.0
203,2020,04,010089,079,11,04,080601,6.0,4.0,20200100890791104,4.0,,,2.0,,1.0,1.0,33.0,,1.0
204,2020,06,015077,126,11,01,010520,4.0,7.0,20200150771261101,1.0,,,1.0,2.0,,1.0,34.0,,2.0
205,2020,01,005933,038,11,01,060601,4.0,7.0,20200059330381101,1.0,1.0,1.0,1.0,2.0,,1.0,57.0,,1.0
209,2020,01,005244,039,11,01,020105,5.0,3.0,20170052440391101,1.0,1.0,1.0,1.0,2.0,,1.0,44.0,,2.0
210,2020,05,016107,129,11,03,060703,4.0,7.0,20200161071291103,3.0,,,1.0,2.0,,2.0,21.0,,6.0
213,2020,10,007898,082,11,03,150108,8.0,1.0,20200078980821103,3.0,1.0,3.0,1.0,2.0,,1.0,23.0,,6.0
216,2020,04,007474,031,11,05,140115,1.0,7.0,20190074740311105,5.0,,,1.0,2.0,,1.0,1.0,,
217,2020,12,010294,158,11,01,160211,7.0,7.0,20200102941581101,1.0,1.0,1.0,1.0,2.0,,1.0,90.0,,2.0
223,2020,12,015107,260,11,02,010205,7.0,7.0,20200151072601102,2.0,1.0,2.0,1.0,2.0,,2.0,25.0,,1.0
224,2020,03,005979,028,11,01,061111,4.0,8.0,20200059790281101,1.0,1.0,1.0,1.0,2.0,,1.0,54.0,,1.0
225,2020,09,016627,071,11,05,090118,5.0,7.0,20200166270711105,6.0,,,1.0,2.0,,2.0,75.0,,3.0
226,2020,02,010325,011,11,04,200114,1.0,7.0,20200103250111104,3.0,1.0,3.0,1.0,2.0,,1.0,2.0,,
228,2020,03,005341,124,11,05,021406,5.0,7.0,20200053411241105,3.0,,,1.0,2.0,,2.0,35.0,,6.0
229,2020,11,019166,063,11,01,190304,7.0,7.0,20200191660631101,1.0,1.0,1.0,1.0,2.0,,2.0,33.0,,5.0
231,2020,03,005971,360,11,01,060701,4.0,7.0,20200059713601101,1.0,0.0,1.0,1.0,2.0,,2.0,55.0,,5.0
232,2020,01,005212,113,11,02,021809,2.0,2.0,20170052121131102,2.0,1.0,2.0,1.0,2.0,,2.0,50.0,,2.0
233,2020,01,008455,052,11,02,170101,7.0,7.0,20190084550521102,2.0,1.0,2.0,1.0,2.0,,2.0,58.0,,1.0
234,2020,09,005198,097,11,06,021809,2.0,2.0,20200051980971106,11.0,,,1.0,2.0,,1.0,27.0,,6.0
235,2020,04,008785,083,11,02,200104,1.0,2.0,20180087850831102,3.0,,,1.0,2.0,,2.0,32.0,,5.0
237,2020,04,020255,077,11,03,250107,7.0,2.0,20200202550771103,3.0,,,1.0,2.0,,1.0,33.0,,5.0
239,2020,02,006620,112,11,03,100103,5.0,8.0,20200066201121103,3.0,1.0,3.0,1.0,2.0,,1.0,11.0,,
240,2020,07,011379,036,11,02,160106,7.0,7.0,20200113790361102,2.0,,,1.0,2.0,,2.0,75.0,,1.0
241,2020,02,010009,004,11,02,021809,2.0,2.0,20200100090041102,2.0,1.0,2.0,1.0,2.0,,2.0,65.0,,2.0
244,2020,07,019929,035,11,05,230110,3.0,2.0,20200199290351105,6.0,,,1.0,2.0,,2.0,86.0,,3.0
245,2020,04,017398,094,11,01,130101,1.0,1.0,20200173980941101,1.0,,,1.0,2.0,,2.0,48.0,,5.0
246,2020,05,016828,033,11,01,100507,7.0,7.0,20200168280331101,1.0,,,1.0,2.0,,1.0,65.0,,1.0
248,2020,04,019194,049,11,03,200115,1.0,2.0,20200191940491103,3.0,,,1.0,2.0,,2.0,10.0,,
249,2020,05,016341,029,11,05,080105,6.0,2.0,20200163410291105,3.0,,,1.0,2.0,,2.0,23.0,,6.0
251,2020,08,011400,054,11,02,130602,4.0,8.0,20200114000541102,3.0,,,1.0,2.0,,1.0,14.0,,6.0
253,2020,11,007979,041,11,05,150124,8.0,1.0,20160079790411106,3.0,1.0,3.0,1.0,2.0,,1.0,19.0,,6.0
258,2020,03,006529,050,11,01,100111,5.0,2.0,20200065290501101,1.0,0.0,1.0,1.0,2.0,,1.0,42.0,,6.0
260,2020,02,010060,047,11,01,050611,5.0,6.0,20180100600471101,1.0,1.0,1.0,1.0,2.0,,1.0,73.0,,2.0
261,2020,01,005124,102,11,05,010306,4.0,7.0,20200051241021105,3.0,2.0,1.0,2.0,,1.0,1.0,31.0,,1.0
262,2020,02,008882,032,11,03,200114,1.0,4.0,20200088820321103,3.0,1.0,3.0,1.0,2.0,,1.0,15.0,,6.0
264,2020,01,008764,009,11,02,200115,1.0,2.0,20180087640091102,2.0,1.0,2.0,1.0,2.0,,2.0,69.0,,2.0
265,2020,08,015404,126,11,01,030101,6.0,3.0,20200154041261101,1.0,,,1.0,2.0,,1.0,51.0,,1.0
267,2020,01,011351,142,11,01,100201,5.0,5.0,20200113511421101,1.0,1.0,1.0,1.0,2.0,,1.0,45.0,,2.0
269,2020,02,010060,113,11,02,050611,5.0,6.0,20190100601131102,11.0,0.0,1.0,1.0,2.0,,1.0,29.0,,6.0
271,2020,01,005675,002,11,06,040514,6.0,6.0,20200056750021106,3.0,1.0,3.0,1.0,2.0,,1.0,10.0,,
272,2020,07,007168,029,11,04,130401,1.0,4.0,20200071680291104,3.0,,,1.0,2.0,,1.0,5.0,,
273,2020,12,009616,054,11,01,250105,7.0,2.0,20180096160541102,1.0,1.0,1.0,1.0,2.0,,1.0,22.0,,1.0
274,2020,02,007960,068,11,04,150143,8.0,1.0,20170079600681104,3.0,1.0,3.0,1.0,2.0,,1.0,19.0,,6.0
275,2020,10,017822,025,11,05,150142,8.0,1.0,20200178220251105,3.0,3.0,1.0,1.0,2.0,,1.0,41.0,,5.0
276,2020,05,010641,026,11,02,150509,2.0,4.0,20200106410261102,2.0,,,1.0,2.0,,2.0,44.0,,2.0
277,2020,05,009344,064,11,01,230101,3.0,2.0,20200093440641101,1.0,,,1.0,2.0,,1.0,63.0,,1.0
279,2020,10,015623,003,11,01,040103,6.0,1.0,20200156230031101,1.0,1.0,1.0,1.0,2.0,,2.0,33.0,,5.0
280,2020,05,007383,155,11,03,140307,1.0,5.0,20160073831551104,3.0,,,1.0,2.0,,2.0,27.0,,5.0
281,2020,01,005437,105,11,05,030103,6.0,8.0,20200054371051105,3.0,1.0,3.0,1.0,2.0,,2.0,18.0,,6.0
282,2020,11,010185,042,11,01,130614,4.0,7.0,20200101850421101,1.0,1.0,1.0,1.0,2.0,,1.0,22.0,,1.0
283,2020,01,008240,057,11,08,160113,7.0,2.0,20190082400571108,0.0,,,,,,,,,
288,2020,09,008216,054,12,01,160101,7.0,2.0,20200082160541201,1.0,1.0,1.0,1.0,2.0,,1.0,53.0,,1.0
291,2020,03,008736,025,11,01,190306,7.0,8.0,20190087360251101,1.0,1.0,1.0,1.0,2.0,,1.0,37.0,,1.0
292,2020,05,016842,370,11,04,100111,7.0,7.0,20200168423701104,3.0,,,1.0,2.0,,2.0,8.0,,
295,2020,05,006453,189,11,01,090117,5.0,8.0,20170064531891101,1.0,,,1.0,2.0,,1.0,82.0,,3.0
296,2020,01,006574,030,11,03,100401,5.0,7.0,20200065740301103,3.0,1.0,3.0,1.0,2.0,,1.0,16.0,,6.0
297,2020,08,019474,124,11,03,211101,6.0,2.0,20200194741241103,3.0,,,1.0,2.0,,1.0,37.0,,1.0
298,2020,04,007973,054,12,01,150119,8.0,1.0,20200079730541201,1.0,,,1.0,2.0,,1.0,44.0,,1.0
304,2020,03,005764,048,11,07,050407,7.0,7.0,20160057640481108,3.0,1.0,3.0,1.0,2.0,,1.0,8.0,,
306,2020,02,007372,066,11,01,140301,1.0,4.0,20200073720661101,1.0,1.0,1.0,1.0,2.0,,1.0,34.0,,2.0
307,2020,04,006408,054,11,03,090714,5.0,7.0,20200064080541103,3.0,,,1.0,2.0,,1.0,16.0,,6.0
308,2020,04,007677,006,11,01,150103,8.0,1.0,20190076770061101,1.0,,,1.0,2.0,,1.0,66.0,,2.0
310,2020,03,009065,052,11,02,210809,6.0,7.0,20160090650521102,2.0,1.0,2.0,1.0,2.0,,2.0,39.0,,2.0
311,2020,02,006493,005,11,04,090611,5.0,6.0,20200064930051104,4.0,2.0,2.0,2.0,,2.0,2.0,35.0,,1.0
315,2020,06,015339,041,11,03,020302,5.0,8.0,20200153390411103,3.0,,,1.0,2.0,,2.0,12.0,,6.0
316,2020,11,006134,019,11,01,070101,8.0,1.0,20200061340191101,1.0,1.0,1.0,1.0,2.0,,1.0,64.0,,1.0
317,2020,07,005901,072,11,01,060701,4.0,5.0,20200059010721101,1.0,,,1.0,2.0,,1.0,39.0,,1.0
320,2020,04,006069,061,11,09,070106,8.0,1.0,20190060690611106,0.0,,,,,,,,,
321,2020,09,018980,083,11,02,180301,3.0,3.0,20200189800831102,2.0,,,1.0,2.0,,2.0,42.0,,2.0
322,2020,06,007080,060,11,02,130105,1.0,1.0,20200070800601102,2.0,,,1.0,2.0,,2.0,34.0,,1.0
323,2020,02,009963,023,11,02,220101,7.0,7.0,20200099630231102,2.0,1.0,2.0,1.0,2.0,,2.0,26.0,,1.0
324,2020,06,007445,098,11,07,140306,1.0,7.0,20170074450981107,0.0,,,,,,,,,
325,2020,12,007275,087,11,02,130801,4.0,7.0,20190072750871102,2.0,1.0,2.0,1.0,2.0,,2.0,55.0,,1.0
329,2020,05,017927,043,11,01,150132,8.0,1.0,20200179270431101,1.0,,,1.0,2.0,,1.0,32.0,,1.0
330,2020,10,016272,175,11,02,070101,8.0,1.0,20200162721751102,2.0,1.0,2.0,1.0,2.0,,2.0,58.0,,2.0
332,2020,04,007208,052,11,04,130107,1.0,4.0,20170072080521104,3.0,,,1.0,2.0,,1.0,8.0,,
333,2020,03,006773,010,12,03,110206,2.0,5.0,20200067730101203,5.0,1.0,3.0,1.0,2.0,,2.0,20.0,,6.0
334,2020,09,018138,004,11,02,150105,8.0,1.0,20200181380041102,6.0,1.0,6.0,1.0,2.0,,1.0,77.0,,3.0
335,2020,06,009217,283,11,01,220910,7.0,2.0,20180092172831101,1.0,,,1.0,2.0,,1.0,44.0,,1.0
339,2020,03,008611,048,11,04,190113,5.0,3.0,20190086110481104,3.0,1.0,3.0,1.0,2.0,,2.0,5.0,,
340,2020,09,010287,098,11,01,160104,7.0,7.0,20200102870981101,1.0,1.0,1.0,1.0,2.0,,1.0,52.0,,2.0
343,2020,11,006335,045,11,01,080708,6.0,8.0,20200063350451101,1.0,0.0,1.0,1.0,2.0,,1.0,37.0,,6.0
344,2020,01,009559,144,11,03,240301,1.0,5.0,20160095591441103,3.0,1.0,3.0,1.0,2.0,,1.0,17.0,,6.0
349,2020,05,009638,020,11,03,250101,7.0,2.0,20180096380201103,3.0,,,1.0,2.0,,1.0,15.0,,6.0
350,2020,08,008385,023,11,06,170101,7.0,3.0,20190083850231106,3.0,,,1.0,2.0,,1.0,7.0,,
352,2020,10,005807,035,11,01,050201,5.0,7.0,20160058070351101,1.0,0.0,1.0,1.0,2.0,,2.0,72.0,,3.0
356,2020,03,007075,183,11,03,120699,7.0,8.0,20160070751831103,3.0,1.0,3.0,1.0,2.0,,1.0,20.0,,6.0
358,2020,06,007445,205,11,05,140306,1.0,7.0,20190074452051105,3.0,,,1.0,2.0,,2.0,14.0,,6.0
360,2020,05,017312,040,11,02,120305,7.0,7.0,20200173120401102,2.0,,,1.0,2.0,,2.0,28.0,,1.0
361,2020,01,007392,079,11,05,140201,1.0,4.0,20200073920791105,5.0,2.0,3.0,1.0,2.0,,1.0,12.0,,6.0
363,2020,12,007062,036,11,03,120607,7.0,6.0,20200070620361103,3.0,1.0,3.0,1.0,2.0,,1.0,15.0,,6.0
364,2020,02,007498,067,11,01,150125,8.0,1.0,20200074980671101,1.0,1.0,1.0,1.0,1.0,,1.0,34.0,,2.0
366,2020,07,009343,087,11,02,230101,3.0,2.0,20200093430871102,3.0,,,1.0,2.0,,2.0,34.0,,6.0
369,2020,06,010120,057,11,01,110101,2.0,2.0,20200101200571101,1.0,,,1.0,2.0,,1.0,64.0,,2.0
371,2020,07,006892,100,11,04,120114,5.0,2.0,20170068921001104,0.0,,,,,,,,,
372,2020,04,018362,051,11,02,150509,2.0,4.0,20200183620511102,2.0,,,1.0,2.0,,2.0,60.0,,2.0
374,2020,07,019084,004,11,04,190111,5.0,5.0,20200190840041104,3.0,,,1.0,2.0,,2.0,10.0,,
379,2020,03,007108,034,11,01,130101,1.0,1.0,20200071080341101,1.0,0.0,1.0,1.0,2.0,,1.0,24.0,,6.0
380,2020,08,008233,054,11,06,160112,7.0,2.0,20190082330541105,10.0,,,1.0,2.0,,1.0,53.0,,5.0
383,2020,06,015339,006,11,01,020302,5.0,8.0,20200153390061101,1.0,,,1.0,2.0,,1.0,60.0,,1.0
386,2020,12,007298,092,11,06,140101,1.0,2.0,20180072980921106,0.0,,,,,,,,,
390,2020,04,017852,148,11,04,150137,8.0,1.0,20200178521481104,5.0,,,1.0,2.0,,2.0,0.0,10.0,
392,2020,10,010115,141,11,02,100903,7.0,7.0,20160101151411102,2.0,1.0,2.0,1.0,2.0,,2.0,23.0,,1.0
394,2020,08,005657,347,11,04,040409,6.0,7.0,20190056573471104,3.0,,,1.0,2.0,,1.0,12.0,,6.0
396,2020,04,007109,032,11,01,130101,1.0,1.0,20200071090321101,1.0,,,1.0,1.0,,1.0,65.0,,2.0
398,2020,03,005857,033,11,01,060101,4.0,2.0,20200058570331101,1.0,1.0,1.0,1.0,2.0,,1.0,29.0,,1.0
402,2020,01,006303,091,11,04,081005,6.0,7.0,20170063030911104,3.0,1.0,3.0,1.0,2.0,,2.0,14.0,,6.0
405,2020,07,016540,017,11,04,090201,5.0,5.0,20200165400171104,3.0,,,2.0,,2.0,1.0,24.0,,1.0
407,2020,06,015339,002,11,08,020302,5.0,8.0,20200153390021108,3.0,,,2.0,,2.0,2.0,27.0,,1.0
408,2020,06,015369,140,11,05,021909,5.0,7.0,20200153691401105,3.0,,,1.0,2.0,,1.0,0.0,10.0,
409,2020,02,007729,029,11,03,150101,8.0,1.0,20200077290291103,7.0,0.0,1.0,1.0,2.0,,2.0,18.0,,6.0
413,2020,10,017846,011,11,02,150106,8.0,1.0,20200178460111102,2.0,1.0,2.0,1.0,2.0,,2.0,48.0,,2.0
414,2020,05,006011,003,11,03,061004,4.0,6.0,20190060110031103,3.0,,,1.0,2.0,,2.0,11.0,,
417,2020,07,005656,070,11,06,040605,6.0,6.0,20200056560701106,3.0,,,1.0,2.0,,1.0,15.0,,6.0
419,2020,07,006490,141,11,01,090607,5.0,8.0,20190064901411101,1.0,,,1.0,2.0,,2.0,25.0,,6.0
421,2020,06,019173,077,11,03,190306,7.0,8.0,20200191730771103,3.0,,,1.0,2.0,,1.0,28.0,,6.0
431,2020,06,019678,034,23,03,220301,7.0,5.0,20200196780342303,3.0,,,1.0,2.0,,2.0,30.0,,1.0
432,2020,08,007202,002,11,02,130104,1.0,4.0,20200072020021102,3.0,,,1.0,2.0,,1.0,40.0,,5.0
435,2020,03,005232,009,11,05,021802,5.0,7.0,20200052320091105,3.0,1.0,3.0,1.0,2.0,,2.0,9.0,,
436,2020,05,018553,044,11,01,151020,5.0,8.0,20200185530441101,1.0,,,1.0,2.0,,1.0,51.0,,1.0
437,2020,02,007951,027,11,02,150143,8.0,1.0,20200079510271102,2.0,1.0,2.0,1.0,2.0,,1.0,49.0,,1.0
