"","porct_mujer","porct_hombre","porct_natives","District","comunidad"
"1",0.412103746397695,0.587896253602305,0.490500863557858,"CIUDAD DEL CERRO","C.CIUDAD DEL CERRO"
"2",0.531914893617021,0.468085106382979,0.958333333333333,"CIUDAD DEL CERRO","VICO"
"3",1,0,0.5,"CIUDAD DEL CERRO","RANCA"
"4",0.531914893617021,0.468085106382979,0.74,"CIUDAD DEL CERRO","PASCO"
"5",0.55421686746988,0.44578313253012,0.65,"CIUDAD DEL CERRO",NA
"6",0.513157894736842,0.486842105263158,0.841346153846154,"CIUDAD DEL CERRO","CAICO"
"7",0.531914893617021,0.468085106382979,NA,"CIUDAD DEL CERRO","H.SAN ANDRÉS"
"8",0.547979797979798,0.452020202020202,0.13895486935867,"JAUJA","P.JAUJA"
"9",0.735483870967742,0.264516129032258,0.78,"JAUJA","A.HUERTAS"
"10",0.633620689655172,0.366379310344828,0.893617021276596,"JAUJA","MASMA"
"11",0.548148148148148,0.451851851851852,0.553191489361702,"JAUJA","ATAURA"
"12",0.557377049180328,0.442622950819672,0.961165048543689,"JAUJA","HUALÁ"
"13",0.72258064516129,0.27741935483871,NA,"JAUJA","JULCÁN"
"14",0.549019607843137,0.450980392156863,0.967741935483871,"JAUJA","P.RICRÁN"
"15",0.589928057553957,0.410071942446043,0.345744680851064,"JAUJA","A.PAUCÁN"
"16",0.531986531986532,0.468013468013468,0.925,"ACOLLA","P.ACOLLA"
"17",0.468531468531469,0.531468531468531,0.943502824858757,"ACOLLA","MARCO"
"18",0.607843137254902,0.392156862745098,0.982558139534884,"ACOLLA","TRAGADERO"
"19",0.556291390728477,0.443708609271523,0.333333333333333,"CONCEPCIÓN","P.CONCEPCIÓN"
"20",0.631016042780749,0.368983957219251,0.737903225806452,"CONCEPCIÓN","SANTA ROSA DE OCOPA"
"21",0.709090909090909,0.290909090909091,0.989010989010989,"CONCEPCIÓN","HUANTAR"
"22",0.606413994169096,0.393586005830904,0.27209705372617,"SAN GERÓNIMO","P.SAN GERÓNIMO"
"23",0.647619047619048,0.352380952380952,0.395061728395062,"SAN GERÓNIMO","SAN PEDRO DE SAÑO"
"24",0.620689655172414,0.379310344827586,0.173333333333333,"SAN GERÓNIMO","QUICHUAY"
"25",0.620689655172414,0.379310344827586,0.472972972972973,"SAN GERÓNIMO","CASACANCHA"
"26",0.609375,0.390625,0.409090909090909,"SAN GERÓNIMO","A.INGENIO"
"27",0.5,0.5,0.185840707964602,"SAN GERÓNIMO","P.SANTA CRUZ DE QUILCAY"
"28",0.581105169340463,0.418894830659537,0.182256509161041,"TARMA","P.TARMA"
"29",0.462365591397849,0.537634408602151,0.844339622641509,"TARMA","MULLUERO"
"30",0.6,0.4,0.684210526315789,"TARMA",NA
"31",0.466346153846154,0.533653846153846,0.966101694915254,"TARMA","CHANCHA"
"32",0.365384615384615,0.634615384615385,0.291666666666667,"OROYA","P.OROYA"
"33",0.618181818181818,0.381818181818182,0.990825688073395,"OROYA","HUAYHUAY"
