"year","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","P201P","P203","P203A","P203B","P204","P205","P206","P207","P208A","P208B","P209"
"2020","02","005010","050","11","04","010101",4,4,"20200050100501104",3,1,3,1,2,NA,1,17,NA,6
"2020","02","005010","050","11","06","010101",4,4,"20200050100501106",3,1,3,1,2,NA,1,7,NA,NA
"2020","02","005010","064","11","02","010101",4,4,"20200050100641102",3,1,1,1,2,NA,2,41,NA,5
"2020","02","005010","064","11","04","010101",4,4,"20200050100641104",5,1,3,1,2,NA,1,2,NA,NA
"2020","02","005010","125","11","02","010101",4,4,"20200050101251102",3,1,3,1,2,NA,1,28,NA,6
"2020","06","005012","005","11","01","010101",4,4,"20160050120051102",1,NA,NA,1,2,NA,2,57,NA,5
"2020","06","005012","012","11","03","010101",4,4,"20160050120121106",5,NA,NA,1,2,NA,2,12,NA,6
"2020","06","005012","012","11","04","010101",4,4,"20200050120121104",3,NA,NA,2,NA,1,1,51,NA,5
"2020","06","005012","012","11","05","010101",4,4,"20180050120121105",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","06","005012","025","11","05","010101",4,4,"20160050120251105",3,NA,NA,1,2,NA,2,18,NA,6
"2020","06","005012","039","11","01","010101",4,4,"20170050120391101",1,NA,NA,1,2,NA,1,34,NA,2
"2020","06","005012","039","11","02","010101",4,4,"20160050120391101",2,NA,NA,1,2,NA,2,33,NA,2
"2020","12","005014","040","11","01","010101",4,4,"20200050140401101",1,1,1,1,2,NA,2,37,NA,5
"2020","12","005014","040","11","02","010101",4,4,"20200050140401102",3,1,3,1,2,NA,1,8,NA,NA
"2020","12","005014","040","11","03","010101",4,4,"20200050140401103",3,1,3,1,2,NA,1,4,NA,NA
"2020","12","005014","082","11","01","010101",4,4,"20200050140821101",1,1,1,1,2,NA,1,51,NA,1
"2020","12","005014","095","11","02","010101",4,4,"20200050140951102",2,1,2,1,2,NA,2,46,NA,1
"2020","01","005015","007","11","01","010101",4,4,"20200050150071101",1,1,1,1,2,NA,2,36,NA,1
"2020","01","005015","019","11","02","010101",4,4,"20200050150191102",3,1,3,1,2,NA,2,27,NA,6
"2020","01","005015","019","11","03","010101",4,4,"20200050150191103",3,1,3,1,1,NA,2,24,NA,6
"2020","01","005015","019","11","04","010101",4,4,"20200050150191104",10,0,1,1,2,NA,1,68,NA,5
"2020","01","005015","070","11","02","010101",4,4,"20200050150701102",2,1,2,1,2,NA,2,32,NA,2
"2020","04","005016","016","11","01","010101",4,4,"20200050160161101",1,NA,NA,1,2,NA,2,51,NA,5
"2020","04","005016","016","11","04","010101",4,4,"20200050160161104",3,NA,NA,1,2,NA,2,31,NA,6
"2020","04","005016","040","11","01","010101",4,4,"20200050160401101",1,NA,NA,1,2,NA,2,54,NA,4
"2020","04","005016","040","11","02","010101",4,4,"20200050160401102",3,NA,NA,1,2,NA,1,31,NA,1
"2020","04","005016","040","11","03","010101",4,4,"20200050160401103",4,NA,NA,1,2,NA,2,26,NA,1
"2020","04","005016","042","11","01","010101",4,4,"20200050160421101",1,NA,NA,1,2,NA,2,74,NA,5
"2020","04","005016","046","11","03","010101",4,4,"20200050160461103",3,NA,NA,1,2,NA,2,17,NA,6
"2020","04","005016","081","11","03","010101",4,4,"20200050160811103",3,NA,NA,1,2,NA,1,7,NA,NA
"2020","05","005017","064","11","01","010101",4,4,"20160050170641102",1,NA,NA,1,2,NA,2,43,NA,5
"2020","05","005017","064","11","03","010101",4,4,"20160050170641106",3,NA,NA,1,2,NA,1,13,NA,6
"2020","05","005017","064","11","06","010101",4,4,"20160050170641101",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","08","005018","006","11","03","010101",4,4,"20200050180061103",3,NA,NA,1,2,NA,1,3,NA,NA
"2020","08","005018","019","11","01","010101",4,4,"20200050180191101",1,NA,NA,1,2,NA,1,71,NA,2
"2020","08","005018","057","11","02","010101",4,4,"20200050180571102",2,NA,NA,1,2,NA,2,59,NA,2
"2020","08","005018","073","11","01","010101",4,4,"20200050180731101",1,NA,NA,1,2,NA,2,40,NA,5
"2020","08","005018","073","11","02","010101",4,4,"20200050180731102",3,NA,NA,1,2,NA,1,18,NA,6
"2020","08","005018","087","11","01","010101",4,4,"20200050180871101",1,NA,NA,1,2,NA,1,60,NA,2
"2020","08","005018","087","11","02","010101",4,4,"20200050180871102",2,NA,NA,1,2,NA,2,43,NA,2
"2020","08","005018","087","11","04","010101",4,4,"20200050180871104",3,NA,NA,1,2,NA,2,19,NA,6
"2020","08","005018","087","11","05","010101",4,4,"20200050180871105",3,NA,NA,1,2,NA,1,17,NA,6
"2020","08","005018","087","11","07","010101",4,4,"20200050180871107",6,NA,NA,1,2,NA,2,93,NA,3
"2020","08","005018","132","11","04","010101",4,4,"20200050181321104",3,NA,NA,1,2,NA,2,28,NA,6
"2020","08","005018","132","11","05","010101",4,4,"20200050181321105",5,NA,NA,1,2,NA,1,7,NA,NA
"2020","08","005018","132","11","07","010101",4,4,"20200050181321107",5,NA,NA,2,NA,1,1,12,NA,6
"2020","08","005018","132","11","08","010101",4,4,"20200050181321108",5,NA,NA,2,NA,1,2,0,1,NA
"2020","03","005019","012","11","02","010101",4,4,"20180050190121102",2,NA,NA,1,2,NA,2,46,NA,1
"2020","03","005019","027","11","02","010101",4,4,"20170050190271102",2,NA,NA,1,1,NA,2,54,NA,2
"2020","03","005019","055","11","03","010101",4,4,"20170050190551103",3,NA,NA,1,2,NA,1,13,NA,6
"2020","09","005020","034","11","02","010101",4,4,"20170050200341102",2,NA,NA,1,2,NA,2,58,NA,2
"2020","09","005020","068","11","03","010101",4,4,"20170050200681103",3,NA,NA,1,2,NA,1,14,NA,6
"2020","09","005020","068","11","04","010101",4,4,"20170050200681104",3,NA,NA,1,2,NA,2,9,NA,NA
"2020","09","005020","102","11","05","010101",4,4,"20200050201021105",5,NA,NA,1,2,NA,2,1,NA,NA
"2020","09","005020","102","11","06","010101",4,4,"20170050201021104",3,NA,NA,1,2,NA,2,36,NA,5
"2020","09","005020","102","11","07","010101",4,4,"20170050201021105",5,NA,NA,1,2,NA,2,10,NA,NA
"2020","09","005020","102","11","08","010101",4,4,"20170050201021106",5,NA,NA,1,2,NA,2,7,NA,NA
"2020","09","005020","152","11","01","010101",4,4,"20170050201521101",1,NA,NA,1,2,NA,1,62,NA,2
"2020","09","005020","152","11","04","010101",4,4,"20200050201521104",4,NA,NA,1,2,NA,1,30,NA,2
"2020","09","005020","152","11","06","010101",4,4,"20200050201521106",5,NA,NA,1,2,NA,1,0,1,NA
"2020","09","005020","152","11","07","010101",4,4,"20170050201521103",3,NA,NA,1,2,NA,1,28,NA,5
"2020","09","005020","152","11","08","010101",4,4,"20170050201521104",5,NA,NA,1,2,NA,2,7,NA,NA
"2020","02","005021","002","11","02","010101",4,4,"20200050210021102",3,1,3,1,2,NA,2,21,NA,6
"2020","02","005021","002","11","03","010101",4,4,"20200050210021103",3,2,1,1,2,NA,2,25,NA,6
"2020","02","005021","065","12","01","010101",4,4,"20200050210651201",1,1,1,1,2,NA,1,40,NA,1
"2020","02","005021","065","12","03","010101",4,4,"20200050210651203",3,1,3,1,2,NA,1,2,NA,NA
"2020","02","005021","065","22","02","010101",4,4,"20200050210652202",5,0,1,1,2,NA,2,15,NA,6
"2020","02","005021","106","11","01","010101",4,4,"20200050211061101",1,1,1,1,2,NA,1,46,NA,1
"2020","02","005021","106","11","02","010101",4,4,"20200050211061102",2,1,2,1,2,NA,2,39,NA,1
"2020","02","005021","128","11","03","010101",4,4,"20200050211281103",5,0,1,1,2,NA,1,27,NA,6
"2020","02","005024","019","11","03","010401",7,5,"20200050240191103",3,1,3,1,2,NA,1,15,NA,6
"2020","02","005024","044","11","01","010401",7,5,"20200050240441101",1,1,1,1,2,NA,1,74,NA,1
"2020","02","005024","044","11","02","010401",7,5,"20200050240441102",2,1,2,1,2,NA,2,76,NA,1
"2020","02","005024","044","11","03","010401",7,5,"20200050240441103",5,0,1,1,2,NA,1,26,NA,6
"2020","02","005024","044","11","08","010401",7,5,"20200050240441108",5,2,3,2,NA,2,2,6,NA,NA
"2020","02","005024","082","11","01","010401",7,5,"20200050240821101",1,1,1,1,2,NA,2,48,NA,5
"2020","10","005026","009","11","03","010201",7,4,"20200050260091103",7,0,1,2,NA,2,1,18,NA,6
"2020","10","005026","021","11","01","010201",7,4,"20200050260211101",1,1,1,1,2,NA,1,37,NA,2
"2020","10","005026","046","11","02","010201",7,4,"20200050260461102",2,1,2,1,2,NA,2,36,NA,1
"2020","10","005026","058","11","03","010201",7,4,"20200050260581103",3,1,3,1,2,NA,2,1,NA,NA
"2020","10","005026","072","11","02","010201",7,4,"20200050260721102",11,0,1,1,2,NA,1,43,NA,6
"2020","10","005026","086","11","02","010201",7,4,"20200050260861102",2,1,2,1,2,NA,2,36,NA,1
"2020","08","005027","006","11","02","010201",7,4,"20190050270061102",2,NA,NA,1,2,NA,2,29,NA,1
"2020","08","005027","044","11","04","010201",7,4,"20190050270441105",3,NA,NA,1,2,NA,2,10,NA,NA
"2020","08","005027","044","11","05","010201",7,4,"20190050270441104",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","08","005027","055","11","01","010201",7,4,"20190050270551101",1,NA,NA,1,2,NA,1,58,NA,2
"2020","08","005027","065","11","01","010201",7,4,"20190050270651101",1,NA,NA,1,2,NA,2,33,NA,6
"2020","05","005029","002","11","01","010201",7,4,"20160050290021101",1,NA,NA,1,2,NA,1,44,NA,2
"2020","05","005029","014","11","04","010201",7,4,"20190050290141104",3,NA,NA,1,1,NA,1,11,NA,NA
"2020","05","005029","039","11","02","010201",7,4,"20160050290391102",2,NA,NA,1,2,NA,2,37,NA,2
"2020","05","005029","089","11","02","010201",7,4,"20160050290891102",2,NA,NA,1,2,NA,2,28,NA,1
"2020","04","005030","010","11","03","010201",7,4,"20200050300101103",3,NA,NA,1,2,NA,1,15,NA,6
"2020","04","005030","042","11","02","010201",7,4,"20200050300421102",3,NA,NA,1,2,NA,2,45,NA,5
"2020","04","005030","067","11","01","010201",7,4,"20200050300671101",1,NA,NA,1,2,NA,1,68,NA,1
"2020","01","005032","014","11","01","010201",7,4,"20200050320141101",1,1,1,1,2,NA,1,26,NA,2
"2020","01","005032","047","11","02","010201",7,4,"20200050320471102",5,0,1,1,2,NA,2,15,NA,6
"2020","01","005032","064","11","01","010201",7,4,"20200050320641101",1,1,1,1,2,NA,1,68,NA,2
"2020","01","005032","064","11","02","010201",7,4,"20200050320641102",2,1,2,1,1,NA,2,65,NA,2
"2020","01","005032","096","11","03","010201",7,4,"20200050320961103",3,2,1,2,NA,2,2,42,NA,5
"2020","01","005032","114","11","03","010201",7,4,"20200050321141103",5,0,1,1,2,NA,1,11,NA,NA
"2020","11","005033","014","11","01","010201",7,4,"20160050330141101",1,1,1,1,2,NA,1,55,NA,2
"2020","11","005033","014","11","03","010201",7,4,"20160050330141103",3,1,3,1,2,NA,2,26,NA,6
"2020","11","005033","014","11","04","010201",7,4,"20160050330141104",3,1,3,1,2,NA,1,26,NA,6
"2020","05","005035","005","11","03","010206",7,5,"20170050350051104",3,NA,NA,1,2,NA,2,7,NA,NA
"2020","05","005035","005","11","04","010206",7,5,"20170050350051105",3,NA,NA,1,2,NA,2,3,NA,NA
"2020","05","005035","047","11","01","010206",7,5,"20170050350471101",1,NA,NA,1,2,NA,1,79,NA,4
"2020","05","005035","089","11","04","010206",7,5,"20190050350891104",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","05","005035","089","11","05","010206",7,5,"20190050350891105",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","05","005035","089","11","06","010206",7,5,"20190050350891106",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","05","005035","117","11","01","010206",7,5,"20170050351171102",1,NA,NA,1,2,NA,2,34,NA,2
"2020","05","005035","117","11","02","010206",7,5,"20170050351171103",3,NA,NA,1,2,NA,2,15,NA,6
"2020","05","005035","117","11","03","010206",7,5,"20170050351171104",3,NA,NA,1,2,NA,1,12,NA,6
"2020","08","005036","014","11","02","010206",7,5,"20180050360141102",2,NA,NA,1,2,NA,2,37,NA,1
"2020","08","005036","052","11","03","010206",7,5,"20180050360521103",3,NA,NA,1,2,NA,2,21,NA,6
"2020","08","005036","052","11","04","010206",7,5,"20180050360521105",3,NA,NA,1,2,NA,1,17,NA,6
"2020","08","005036","072","11","02","010206",7,5,"20180050360721102",3,NA,NA,1,2,NA,2,40,NA,6
"2020","08","005036","089","11","01","010206",7,5,"20190050360891102",1,NA,NA,1,2,NA,2,51,NA,5
"2020","08","005036","167","11","02","010206",7,5,"20200050361671102",3,NA,NA,1,2,NA,1,17,NA,6
"2020","08","005037","017","11","01","010701",7,4,"20170050370171101",1,NA,NA,1,2,NA,1,61,NA,1
"2020","08","005037","050","11","01","010701",7,4,"20190050370501101",1,NA,NA,1,2,NA,1,51,NA,1
"2020","08","005037","073","11","03","010701",7,4,"20170050370731104",3,NA,NA,1,2,NA,2,11,NA,NA
"2020","08","005037","073","11","04","010701",7,4,"20190050370731106",5,NA,NA,1,2,NA,2,5,NA,NA
"2020","02","005038","011","11","01","010701",7,4,"20180050380111101",1,1,1,1,2,NA,2,69,NA,5
"2020","02","005038","034","11","05","010701",7,4,"20180050380341105",5,2,3,1,2,NA,2,19,NA,6
"2020","02","005038","040","11","01","010701",7,4,"20180050380401101",1,1,1,1,2,NA,1,65,NA,1
"2020","02","005038","048","11","04","010701",7,4,"20200050380481104",5,2,3,2,NA,2,2,18,NA,6
"2020","02","005038","055","11","01","010701",7,4,"20190050380551101",1,1,1,1,2,NA,1,46,NA,1
"2020","02","005038","055","11","03","010701",7,4,"20190050380551103",3,1,3,1,2,NA,1,13,NA,6
"2020","02","005038","055","11","05","010701",7,4,"20200050380551105",3,1,3,1,2,NA,1,0,1,NA
"2020","05","005039","022","11","01","010701",7,4,"20190050390221101",1,NA,NA,1,2,NA,1,41,NA,1
"2020","05","005039","022","11","02","010701",7,4,"20190050390221102",2,NA,NA,1,2,NA,2,36,NA,1
"2020","05","005039","022","11","03","010701",7,4,"20190050390221103",3,NA,NA,1,2,NA,1,13,NA,6
"2020","05","005039","101","11","03","010701",7,4,"20190050391011103",3,NA,NA,1,2,NA,1,43,NA,6
"2020","09","005044","013","11","02","010701",7,4,"20190050440131102",3,NA,NA,1,2,NA,2,11,NA,NA
"2020","09","005044","028","11","01","010701",7,4,"20190050440281101",1,NA,NA,1,2,NA,1,43,NA,5
"2020","09","005044","028","11","02","010701",7,4,"20190050440281102",3,NA,NA,1,2,NA,2,16,NA,6
"2020","09","005044","028","11","03","010701",7,4,"20200050440281103",3,NA,NA,2,NA,1,2,22,NA,1
"2020","09","005044","059","11","01","010701",7,4,"20170050440591101",1,NA,NA,1,2,NA,1,43,NA,2
"2020","09","005044","059","11","06","010701",7,4,"20170050440591108",3,NA,NA,1,2,NA,1,3,NA,NA
"2020","09","005044","130","11","01","010701",7,4,"20190050441301101",1,NA,NA,1,2,NA,2,43,NA,5
"2020","09","005044","130","11","02","010701",7,4,"20190050441301103",3,NA,NA,1,2,NA,2,6,NA,NA
"2020","05","005045","013","11","03","010701",7,4,"20190050450131104",3,NA,NA,1,2,NA,1,19,NA,6
"2020","05","005045","013","11","05","010701",7,4,"20190050450131103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","05","005045","040","11","01","010701",7,4,"20190050450401101",1,NA,NA,1,2,NA,1,25,NA,1
"2020","05","005045","040","11","02","010701",7,4,"20190050450401102",2,NA,NA,1,2,NA,2,20,NA,1
"2020","05","005045","047","11","07","010701",7,4,"20190050450471107",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","05","005045","047","11","08","010701",7,4,"20190050450471108",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","05","005045","056","11","05","010701",7,4,"20190050450561104",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","06","005046","001","11","02","010701",7,4,"20200050460011102",2,NA,NA,1,2,NA,2,48,NA,1
"2020","06","005046","004","11","01","010701",7,4,"20200050460041101",1,NA,NA,1,2,NA,1,86,NA,3
"2020","06","005046","014","11","01","010701",7,4,"20200050460141101",1,NA,NA,1,2,NA,1,49,NA,2
"2020","06","005046","014","11","03","010701",7,4,"20200050460141103",3,NA,NA,1,2,NA,2,16,NA,6
"2020","06","005046","014","11","04","010701",7,4,"20200050460141104",3,NA,NA,1,2,NA,1,10,NA,NA
"2020","06","005046","062","11","02","010701",7,4,"20200050460621102",3,NA,NA,1,2,NA,1,19,NA,6
"2020","10","005047","014","11","01","010701",7,4,"20160050470141101",1,1,1,1,2,NA,1,49,NA,5
"2020","10","005047","014","11","02","010701",7,4,"20160050470141102",3,1,3,1,2,NA,1,22,NA,6
"2020","10","005047","031","11","01","010701",7,4,"20170050470311101",1,0,1,1,2,NA,2,52,NA,6
"2020","10","005047","031","11","03","010701",7,4,"20180050470311103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","005047","031","11","04","010701",7,4,"20180050470311104",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","005047","074","11","01","010701",7,4,"20160050470741101",1,0,1,1,2,NA,2,78,NA,3
"2020","01","005049","003","11","03","010701",7,4,"20180050490031103",3,1,3,1,2,NA,1,33,NA,6
"2020","01","005049","003","11","06","010701",7,4,"20180050490031104",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","01","005049","009","11","06","010701",7,4,"20180050490091104",3,2,1,1,2,NA,1,19,NA,1
"2020","01","005049","024","11","05","010701",7,4,"20180050490241103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","01","005049","035","11","02","010701",7,4,"20200050490351102",3,1,1,1,2,NA,2,36,NA,5
"2020","07","005052","003","11","03","010702",7,5,"20200050520031103",3,NA,NA,1,1,NA,2,25,NA,6
"2020","07","005052","010","11","02","010702",7,5,"20200050520101102",3,NA,NA,1,1,NA,2,17,NA,6
"2020","07","005052","013","11","02","010702",7,5,"20200050520131102",2,NA,NA,1,2,NA,2,54,NA,1
"2020","07","005052","013","11","03","010702",7,5,"20200050520131103",3,NA,NA,1,2,NA,1,29,NA,6
"2020","07","005052","013","11","04","010702",7,5,"20200050520131104",3,NA,NA,1,2,NA,1,23,NA,6
"2020","07","005052","013","11","05","010702",7,5,"20200050520131105",3,NA,NA,1,2,NA,2,18,NA,6
"2020","07","005052","058","11","04","010702",7,5,"20200050520581104",3,NA,NA,1,2,NA,1,10,NA,NA
"2020","08","005055","019","11","01","010706",7,5,"20200050550191101",1,NA,NA,1,2,NA,2,45,NA,6
"2020","08","005055","019","11","02","010706",7,5,"20200050550191102",3,NA,NA,1,2,NA,2,22,NA,6
"2020","08","005055","039","11","01","010706",7,5,"20200050550391101",1,NA,NA,1,2,NA,1,75,NA,2
"2020","08","005055","096","11","01","010706",7,5,"20200050550961101",1,NA,NA,1,2,NA,1,48,NA,1
"2020","03","005056","052","11","02","010706",7,5,"20200050560521102",2,1,2,1,2,NA,2,44,NA,1
"2020","03","005056","052","11","04","010706",7,5,"20200050560521104",6,0,1,2,NA,2,2,68,NA,5
"2020","03","005057","034","11","02","010307",7,5,"20170050570341102",2,1,2,1,2,NA,2,31,NA,1
"2020","03","005057","034","11","03","010307",7,5,"20170050570341103",3,1,3,1,2,NA,1,12,NA,6
"2020","03","005057","093","11","02","010307",7,5,"20200050570931102",2,1,2,1,2,NA,2,52,NA,1
"2020","03","005057","093","11","03","010307",7,5,"20200050570931103",3,1,3,1,2,NA,2,29,NA,6
"2020","03","005057","093","11","06","010307",7,5,"20200050570931106",3,2,1,1,2,NA,2,32,NA,5
"2020","03","005057","093","11","07","010307",7,5,"20200050570931107",5,2,3,1,2,NA,1,6,NA,NA
"2020","03","005057","107","11","05","010307",7,5,"20190050571071105",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","02","005058","051","11","02","010307",7,5,"20200050580511102",2,1,2,1,2,NA,2,47,NA,2
"2020","02","005058","074","11","02","010307",7,5,"20200050580741102",2,1,2,1,2,NA,2,48,NA,2
"2020","02","005058","074","11","05","010307",7,5,"20200050580741105",3,1,3,1,2,NA,2,9,NA,NA
"2020","02","005058","120","11","05","010307",7,5,"20200050581201105",3,1,3,1,2,NA,2,4,NA,NA
"2020","03","005059","057","11","04","010312",7,5,"20200050590571104",3,1,3,1,2,NA,2,14,NA,6
"2020","03","005059","122","11","01","010312",7,5,"20200050591221101",1,0,1,1,2,NA,2,68,NA,3
"2020","03","005059","166","11","02","010312",7,5,"20200050591661102",2,1,2,1,2,NA,2,32,NA,1
"2020","03","005059","187","11","03","010312",7,5,"20200050591871103",3,1,3,1,2,NA,2,12,NA,6
"2020","03","005061","010","11","01","010502",4,5,"20190050610101101",1,1,1,1,2,NA,1,51,NA,1
"2020","03","005061","010","11","02","010502",4,5,"20190050610101102",2,1,2,1,2,NA,2,41,NA,1
"2020","03","005061","034","11","05","010502",4,5,"20200050610341105",5,2,3,2,NA,2,1,3,NA,NA
"2020","03","005061","058","11","03","010502",4,5,"20190050610581103",3,1,3,1,2,NA,2,17,NA,6
"2020","03","005061","070","11","03","010502",4,5,"20190050610701103",3,1,3,1,2,NA,2,4,NA,NA
"2020","03","005061","083","11","02","010502",4,5,"20190050610831102",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","01","005062","019","11","02","010502",4,5,"20200050620191102",2,1,2,1,2,NA,2,45,NA,1
"2020","01","005062","034","11","03","010502",4,5,"20200050620341103",3,1,3,1,2,NA,2,8,NA,NA
"2020","01","005062","052","11","01","010502",4,5,"20200050620521101",1,1,1,1,2,NA,1,58,NA,2
"2020","01","005062","052","11","03","010502",4,5,"20200050620521103",3,1,3,1,2,NA,2,12,NA,6
"2020","01","005062","067","11","02","010502",4,5,"20200050620671102",2,1,2,1,2,NA,2,19,NA,1
"2020","01","005062","067","11","03","010502",4,5,"20200050620671103",3,1,3,1,2,NA,1,1,NA,NA
"2020","01","005062","078","11","03","010502",4,5,"20200050620781103",3,1,3,1,2,NA,2,6,NA,NA
"2020","01","005063","025","11","03","010501",4,5,"20200050630251103",3,1,3,1,2,NA,2,21,NA,6
"2020","01","005063","050","11","05","010501",4,5,"20200050630501105",3,1,3,1,2,NA,2,3,NA,NA
"2020","01","005063","062","11","01","010501",4,5,"20200050630621101",1,0,1,1,2,NA,2,43,NA,6
"2020","01","005063","077","11","01","010501",4,5,"20200050630771101",1,1,1,1,2,NA,2,51,NA,5
"2020","01","005063","088","11","05","010501",4,5,"20200050630881105",5,1,3,1,2,NA,1,1,NA,NA
"2020","01","005063","088","11","06","010501",4,5,"20200050630881106",6,0,1,1,2,NA,2,92,NA,5
"2020","12","005064","016","11","01","010509",4,5,"20160050640161101",1,1,1,1,2,NA,1,51,NA,2
"2020","12","005064","016","11","02","010509",4,5,"20160050640161102",2,1,2,1,1,NA,2,51,NA,2
"2020","12","005064","038","11","06","010509",4,5,"20190050640381105",5,0,1,1,2,NA,2,6,NA,NA
"2020","12","005064","103","11","03","010509",4,5,"20160050641031103",3,1,3,1,2,NA,2,14,NA,6
"2020","12","005064","125","11","01","010509",4,5,"20160050641251102",1,0,1,1,2,NA,2,91,NA,3
"2020","12","005064","190","11","01","010509",4,5,"20160050641901101",1,1,1,1,2,NA,1,51,NA,2
"2020","12","005064","190","11","06","010509",4,5,"20190050641901105",3,2,1,1,2,NA,2,25,NA,5
"2020","12","005064","190","11","07","010509",4,5,"20190050641901106",5,2,3,1,2,NA,1,1,NA,NA
"2020","11","005065","004","11","05","010109",4,5,"20200050650041105",3,1,3,1,2,NA,1,1,NA,NA
"2020","11","005065","079","11","03","010109",4,5,"20200050650791103",3,1,3,1,2,NA,1,9,NA,NA
"2020","11","005065","086","11","01","010109",4,5,"20200050650861101",1,1,1,1,2,NA,1,46,NA,1
"2020","11","005065","086","11","02","010109",4,5,"20200050650861102",2,1,2,1,2,NA,2,41,NA,1
"2020","11","005065","086","11","05","010109",4,5,"20200050650861105",3,1,3,1,2,NA,1,4,NA,NA
"2020","12","005066","030","11","01","010601",7,5,"20190050660301101",1,1,1,1,2,NA,1,28,NA,2
"2020","12","005066","030","11","02","010601",7,5,"20190050660301102",2,1,2,1,2,NA,2,23,NA,2
"2020","12","005066","087","11","01","010601",7,5,"20180050660871101",1,1,1,1,2,NA,1,73,NA,2
"2020","12","005066","087","11","02","010601",7,5,"20180050660871102",2,1,2,1,2,NA,2,61,NA,2
"2020","03","005068","004","11","01","010601",7,5,"20200050680041101",1,0,1,1,2,NA,2,68,NA,3
"2020","03","005068","036","11","03","010601",7,5,"20200050680361103",3,1,3,1,2,NA,2,16,NA,6
"2020","03","005068","036","11","04","010601",7,5,"20200050680361104",3,1,3,1,2,NA,1,5,NA,NA
"2020","03","005068","048","11","01","010601",7,5,"20200050680481101",1,1,1,1,2,NA,1,80,NA,2
