"year","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","P201P","P203","P203A","P203B","P204","P205","P206","P207","P208A","P208B","P209"
"2020","03","005002","011","11","02","010101",4,4,"20200050020111102",3,1,3,1,2,NA,1,43,NA,6
"2020","03","005002","011","11","03","010101",4,4,"20200050020111103",3,2,1,1,2,NA,2,47,NA,5
"2020","03","005002","011","11","04","010101",4,4,"20200050020111104",5,2,3,1,2,NA,1,11,NA,NA
"2020","03","005002","049","11","04","010101",4,4,"20200050020491104",3,1,3,1,2,NA,2,48,NA,6
"2020","03","005002","073","11","01","010101",4,4,"20200050020731101",1,1,1,1,2,NA,1,60,NA,2
"2020","03","005002","073","11","02","010101",4,4,"20200050020731102",2,1,2,1,2,NA,2,58,NA,2
"2020","03","005002","097","11","01","010101",4,4,"20200050020971101",1,0,1,1,2,NA,2,80,NA,5
"2020","06","005005","037","11","01","010101",4,4,"20200050050371101",1,NA,NA,1,2,NA,2,46,NA,6
"2020","06","005005","041","11","03","010101",4,4,"20200050050411103",3,NA,NA,1,2,NA,2,29,NA,1
"2020","06","005005","041","11","06","010101",4,4,"20200050050411106",5,NA,NA,1,2,NA,2,10,NA,NA
"2020","06","005005","041","11","07","010101",4,4,"20200050050411107",5,NA,NA,1,2,NA,2,7,NA,NA
"2020","06","005005","041","11","11","010101",4,4,"20200050050411111",5,NA,NA,1,2,NA,1,3,NA,NA
"2020","02","005007","022","11","03","010101",4,4,"20190050070221104",3,1,3,1,2,NA,1,28,NA,6
"2020","02","005007","050","11","01","010101",4,4,"20190050070501101",1,1,1,1,2,NA,1,87,NA,2
"2020","02","005007","050","11","04","010101",4,4,"20190050070501103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","01","005009","012","11","01","010101",4,4,"20180050090121101",1,1,1,1,2,NA,2,49,NA,5
"2020","01","005009","012","11","02","010101",4,4,"20180050090121102",3,1,3,1,2,NA,2,16,NA,6
"2020","01","005009","041","11","02","010101",4,4,"20180050090411102",3,1,3,1,2,NA,2,29,NA,6
"2020","01","005009","098","11","02","010101",4,4,"20180050090981101",2,1,2,1,2,NA,2,42,NA,1
"2020","01","005009","098","11","04","010101",4,4,"20180050090981103",3,1,3,1,2,NA,1,18,NA,6
"2020","01","005009","098","11","05","010101",4,4,"20180050090981104",3,1,3,1,2,NA,2,16,NA,6
"2020","02","005010","009","11","02","010101",4,4,"20200050100091102",2,1,2,1,2,NA,1,56,NA,2
"2020","02","005010","009","11","05","010101",4,4,"20200050100091105",6,0,1,2,NA,2,2,85,NA,3
"2020","02","005010","050","11","01","010101",4,4,"20200050100501101",1,1,1,1,2,NA,1,44,NA,1
"2020","02","005010","050","11","03","010101",4,4,"20200050100501103",3,1,3,1,2,NA,1,20,NA,6
