,year,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209
23665,2019,02,005379,022,11,05,030215,6.0,5.0,20190053790221105,3.0,1.0,3.0,1.0,2.0,,1.0,5.0,,
23668,2019,06,005247,018,11,01,020105,5.0,3.0,20190052470181101,1.0,0.0,1.0,1.0,2.0,,2.0,62.0,,5.0
23669,2019,06,005790,347,11,02,050109,5.0,7.0,20160057903471102,2.0,1.0,2.0,1.0,2.0,,2.0,68.0,,2.0
23672,2019,09,006043,007,11,02,070106,8.0,1.0,20190060430071102,2.0,1.0,2.0,1.0,2.0,,2.0,47.0,,2.0
23673,2019,01,009731,157,11,02,250301,7.0,7.0,20190097311571102,2.0,1.0,2.0,1.0,2.0,,2.0,70.0,,2.0
23674,2019,05,007117,058,11,02,130101,1.0,1.0,20170071170581102,2.0,1.0,2.0,1.0,2.0,,2.0,82.0,,2.0
23675,2019,01,009217,249,11,02,220910,7.0,2.0,20180092172491102,2.0,1.0,2.0,1.0,2.0,,2.0,43.0,,2.0
23676,2019,04,007055,130,11,02,120133,5.0,7.0,20190070551301102,3.0,1.0,3.0,1.0,2.0,,1.0,22.0,,6.0
23677,2019,09,010745,019,11,06,230101,3.0,2.0,20180107450191106,10.0,0.0,1.0,1.0,2.0,,1.0,14.0,,6.0
23678,2019,12,010366,039,11,01,221005,7.0,8.0,20180103660391101,1.0,1.0,1.0,1.0,2.0,,2.0,35.0,,1.0
23679,2019,08,008699,081,11,01,190206,5.0,7.0,20190086990811101,1.0,1.0,1.0,1.0,2.0,,2.0,43.0,,6.0
23681,2019,08,008864,092,11,03,200110,1.0,4.0,20190088640921103,3.0,1.0,3.0,1.0,2.0,,2.0,16.0,,6.0
23682,2019,05,005338,132,11,04,021708,5.0,8.0,20190053381321104,3.0,1.0,3.0,1.0,2.0,,2.0,18.0,,6.0
23683,2019,03,009516,040,11,03,240101,1.0,3.0,20160095160401103,3.0,1.0,3.0,1.0,2.0,,2.0,15.0,,6.0
23684,2019,08,010014,002,11,01,021801,2.0,8.0,20190100140021101,1.0,1.0,1.0,1.0,2.0,,1.0,48.0,,1.0
23685,2019,05,006540,029,11,02,100601,7.0,4.0,20150065400291102,2.0,1.0,2.0,1.0,2.0,,2.0,61.0,,2.0
23688,2019,06,009510,033,11,06,240101,1.0,3.0,20180095100331106,5.0,2.0,3.0,1.0,2.0,,2.0,3.0,,
23689,2019,05,010303,072,11,03,200101,1.0,2.0,20180103030721103,3.0,1.0,3.0,1.0,2.0,,1.0,8.0,,
23691,2019,05,008219,096,11,09,160101,7.0,2.0,20190082190961109,3.0,3.0,1.0,1.0,2.0,,2.0,33.0,,5.0
23692,2019,05,010113,089,11,03,101107,5.0,7.0,20170101130891103,3.0,1.0,3.0,1.0,2.0,,1.0,31.0,,6.0
23693,2019,03,005857,076,11,03,060101,4.0,2.0,20190058570761103,3.0,1.0,3.0,1.0,2.0,,2.0,10.0,,
23694,2019,01,008319,180,11,05,160107,7.0,7.0,20190083191801105,3.0,1.0,3.0,1.0,2.0,,1.0,9.0,,
23698,2019,12,007586,026,11,02,150128,8.0,1.0,20190075860261102,3.0,1.0,1.0,1.0,2.0,,2.0,38.0,,3.0
23702,2019,10,006349,075,11,01,080505,6.0,7.0,20190063490751101,1.0,0.0,1.0,1.0,2.0,,2.0,71.0,,5.0
23703,2019,11,007657,059,11,04,150118,8.0,1.0,20190076570591104,3.0,1.0,3.0,1.0,2.0,,2.0,0.0,9.0,
23706,2019,10,007473,047,11,03,140113,1.0,7.0,20160074730471103,3.0,1.0,3.0,1.0,1.0,,2.0,17.0,,6.0
23711,2019,05,005900,078,11,02,060701,4.0,5.0,20190059000781102,2.0,1.0,2.0,1.0,2.0,,2.0,31.0,,2.0
23713,2019,09,005634,040,11,03,040701,3.0,4.0,20170056340401103,3.0,1.0,3.0,1.0,2.0,,2.0,14.0,,6.0
23715,2019,03,008791,079,11,05,200104,1.0,2.0,20190087910791105,5.0,2.0,3.0,1.0,2.0,,2.0,7.0,,
23716,2019,02,008264,003,11,07,160104,7.0,5.0,20190082640031107,3.0,2.0,1.0,1.0,2.0,,2.0,19.0,,6.0
23717,2019,04,006611,033,11,01,100317,5.0,7.0,20150066110331101,1.0,1.0,1.0,1.0,2.0,,1.0,59.0,,2.0
23721,2019,03,007413,010,11,01,140113,1.0,5.0,20190074130101101,1.0,1.0,1.0,1.0,2.0,,1.0,59.0,,2.0
23723,2019,09,009678,034,11,03,250107,7.0,2.0,20190096780341103,3.0,1.0,3.0,1.0,2.0,,2.0,7.0,,
23728,2019,02,005023,114,11,02,010401,7.0,5.0,20190050231141102,2.0,1.0,2.0,1.0,2.0,,2.0,44.0,,1.0
23729,2019,08,007444,019,11,03,140306,1.0,7.0,20190074440191103,3.0,2.0,2.0,2.0,,2.0,2.0,33.0,,1.0
23730,2019,04,009157,014,11,04,220803,7.0,5.0,20190091570141104,3.0,1.0,3.0,1.0,2.0,,2.0,20.0,,6.0
23733,2019,03,007339,015,22,03,140105,1.0,2.0,20190073390152203,3.0,1.0,3.0,1.0,2.0,,2.0,5.0,,
23734,2019,10,007211,119,11,04,130107,1.0,4.0,20190072111191104,3.0,1.0,3.0,1.0,2.0,,1.0,13.0,,6.0
23735,2019,02,007829,022,11,06,150130,8.0,1.0,20190078290221106,5.0,2.0,3.0,1.0,2.0,,1.0,7.0,,
23736,2019,09,006158,139,11,05,070101,8.0,1.0,20190061581391105,4.0,2.0,2.0,1.0,2.0,,2.0,38.0,,1.0
23738,2019,03,007706,121,11,04,150101,8.0,1.0,20180077061211104,3.0,1.0,3.0,1.0,2.0,,1.0,4.0,,
23739,2019,09,008784,098,35,02,200104,1.0,2.0,20190087840983502,2.0,1.0,2.0,1.0,2.0,,2.0,30.0,,1.0
23741,2019,10,006816,023,11,05,110110,2.0,5.0,20190068160231105,10.0,0.0,1.0,1.0,2.0,,1.0,49.0,,5.0
23746,2019,06,008632,104,11,01,190101,5.0,3.0,20170086321041101,1.0,1.0,1.0,1.0,2.0,,1.0,39.0,,2.0
23747,2019,12,007734,001,11,01,150101,8.0,1.0,20190077340011101,1.0,1.0,1.0,1.0,2.0,,1.0,84.0,,1.0
23749,2019,09,010295,049,11,03,160601,7.0,7.0,20190102950491103,3.0,1.0,3.0,1.0,2.0,,1.0,15.0,,6.0
23750,2019,08,010637,007,11,04,150801,2.0,2.0,20190106370071104,3.0,1.0,3.0,1.0,2.0,,1.0,10.0,,
23751,2019,04,008346,062,11,01,160506,7.0,7.0,20190083460621101,1.0,1.0,1.0,1.0,2.0,,1.0,53.0,,2.0
23754,2019,10,010690,047,11,01,180101,3.0,3.0,20190106900471101,1.0,1.0,1.0,1.0,2.0,,1.0,60.0,,4.0
23755,2019,10,005542,079,11,01,040112,6.0,1.0,20190055420791101,1.0,1.0,1.0,1.0,2.0,,1.0,54.0,,2.0
23756,2019,09,008986,017,11,02,210101,6.0,2.0,20190089860171102,2.0,1.0,2.0,1.0,2.0,,2.0,42.0,,1.0
23758,2019,03,007315,021,23,06,140101,1.0,2.0,20180073150212406,5.0,2.0,3.0,1.0,2.0,,1.0,2.0,,
23759,2019,03,007759,006,11,03,150136,8.0,1.0,20160077590061103,3.0,1.0,3.0,1.0,2.0,,2.0,30.0,,6.0
23760,2019,08,009540,080,11,01,240102,1.0,5.0,20190095400801101,1.0,1.0,1.0,1.0,2.0,,2.0,47.0,,5.0
23761,2019,08,007232,095,11,01,131203,1.0,5.0,20150072320951101,1.0,1.0,1.0,1.0,2.0,,1.0,76.0,,2.0
23762,2019,07,009680,063,11,03,250107,7.0,2.0,20160096800631103,3.0,1.0,3.0,1.0,2.0,,1.0,4.0,,
23765,2019,09,009295,059,11,06,221005,7.0,7.0,20160092950591102,0.0,,,,,,,,,
23769,2019,06,007063,046,11,03,120607,7.0,7.0,20190070630461103,3.0,1.0,3.0,1.0,2.0,,2.0,16.0,,6.0
